Nano Seconds,Value_of_n
3333ns,1000465 n
3000ns,1000466 n
3250ns,1000467 n
3000ns,1000468 n
8750ns,1000469 n
3708ns,1000470 n
2917ns,1000471 n
3166ns,1000472 n
3250ns,1000473 n
3000ns,1000474 n
3250ns,1000475 n
3875ns,1000476 n
3667ns,1000477 n
3125ns,1000478 n
3166ns,1000479 n
2292ns,1000480 n
5833ns,1000481 n
4708ns,1000482 n
3250ns,1000483 n
2875ns,1000484 n
3500ns,1000485 n
6000ns,1000486 n
8375ns,1000487 n
3125ns,1000488 n
3625ns,1000489 n
3375ns,1000490 n
3125ns,1000491 n
3000ns,1000492 n
3167ns,1000493 n
3333ns,1000494 n
4125ns,1000495 n
3166ns,1000496 n
5542ns,1000497 n
2875ns,1000498 n
9209ns,1000499 n
2708ns,1000500 n
4750ns,1000501 n
4000ns,1000502 n
3292ns,1000503 n
3042ns,1000504 n
3208ns,1000505 n
4208ns,1000506 n
2917ns,1000507 n
5458ns,1000508 n
3209ns,1000509 n
3291ns,1000510 n
4916ns,1000511 n
4125ns,1000512 n
7000ns,1000513 n
2917ns,1000514 n
3292ns,1000515 n
3833ns,1000516 n
3458ns,1000517 n
3708ns,1000518 n
3084ns,1000519 n
2958ns,1000520 n
3208ns,1000521 n
5291ns,1000522 n
3792ns,1000523 n
4459ns,1000524 n
3708ns,1000525 n
5916ns,1000526 n
3667ns,1000527 n
2792ns,1000528 n
2916ns,1000529 n
3709ns,1000530 n
2958ns,1000531 n
5208ns,1000532 n
6416ns,1000533 n
5042ns,1000534 n
3916ns,1000535 n
5000ns,1000536 n
3000ns,1000537 n
4500ns,1000538 n
3666ns,1000539 n
3542ns,1000540 n
2917ns,1000541 n
4583ns,1000542 n
5750ns,1000543 n
2916ns,1000544 n
3667ns,1000545 n
3375ns,1000546 n
3000ns,1000547 n
3125ns,1000548 n
3917ns,1000549 n
3458ns,1000550 n
3292ns,1000551 n
3375ns,1000552 n
8833ns,1000553 n
3750ns,1000554 n
5625ns,1000555 n
2666ns,1000556 n
6292ns,1000557 n
3167ns,1000558 n
2917ns,1000559 n
3791ns,1000560 n
6750ns,1000561 n
6792ns,1000562 n
5167ns,1000563 n
3750ns,1000564 n
5292ns,1000565 n
3917ns,1000566 n
4375ns,1000567 n
4666ns,1000568 n
2958ns,1000569 n
3125ns,1000570 n
3000ns,1000571 n
5000ns,1000572 n
3167ns,1000573 n
3166ns,1000574 n
4750ns,1000575 n
2667ns,1000576 n
2833ns,1000577 n
4000ns,1000578 n
2958ns,1000579 n
3500ns,1000580 n
4667ns,1000581 n
3666ns,1000582 n
5917ns,1000583 n
3292ns,1000584 n
3000ns,1000585 n
3208ns,1000586 n
3709ns,1000587 n
2958ns,1000588 n
2917ns,1000589 n
3250ns,1000590 n
3958ns,1000591 n
3167ns,1000592 n
3625ns,1000593 n
3334ns,1000594 n
6416ns,1000595 n
3250ns,1000596 n
3208ns,1000597 n
3000ns,1000598 n
3375ns,1000599 n
3750ns,1000600 n
6209ns,1000601 n
3209ns,1000602 n
3542ns,1000603 n
3167ns,1000604 n
4500ns,1000605 n
7125ns,1000606 n
5334ns,1000607 n
3375ns,1000608 n
2750ns,1000609 n
3958ns,1000610 n
5041ns,1000611 n
3000ns,1000612 n
4250ns,1000613 n
6042ns,1000614 n
2958ns,1000615 n
3416ns,1000616 n
3416ns,1000617 n
3417ns,1000618 n
3042ns,1000619 n
4042ns,1000620 n
2917ns,1000621 n
3000ns,1000622 n
3291ns,1000623 n
2833ns,1000624 n
3500ns,1000625 n
3541ns,1000626 n
4500ns,1000627 n
3666ns,1000628 n
3625ns,1000629 n
4750ns,1000630 n
8333ns,1000631 n
5500ns,1000632 n
4667ns,1000633 n
3041ns,1000634 n
3542ns,1000635 n
3125ns,1000636 n
3334ns,1000637 n
3125ns,1000638 n
3042ns,1000639 n
4125ns,1000640 n
7000ns,1000641 n
2875ns,1000642 n
3042ns,1000643 n
4375ns,1000644 n
3792ns,1000645 n
4583ns,1000646 n
3208ns,1000647 n
3708ns,1000648 n
2708ns,1000649 n
3500ns,1000650 n
3000ns,1000651 n
5709ns,1000652 n
4459ns,1000653 n
2791ns,1000654 n
3208ns,1000655 n
3208ns,1000656 n
7083ns,1000657 n
7667ns,1000658 n
3041ns,1000659 n
3084ns,1000660 n
4292ns,1000661 n
3250ns,1000662 n
6167ns,1000663 n
4625ns,1000664 n
3625ns,1000665 n
2958ns,1000666 n
2917ns,1000667 n
3208ns,1000668 n
2875ns,1000669 n
3417ns,1000670 n
3292ns,1000671 n
2875ns,1000672 n
3583ns,1000673 n
3458ns,1000674 n
3125ns,1000675 n
2959ns,1000676 n
6666ns,1000677 n
3333ns,1000678 n
3042ns,1000679 n
3875ns,1000680 n
3375ns,1000681 n
3000ns,1000682 n
3375ns,1000683 n
2958ns,1000684 n
3709ns,1000685 n
3417ns,1000686 n
3667ns,1000687 n
3834ns,1000688 n
3375ns,1000689 n
3250ns,1000690 n
3083ns,1000691 n
2292ns,1000692 n
5458ns,1000693 n
6292ns,1000694 n
3292ns,1000695 n
4375ns,1000696 n
2875ns,1000697 n
3292ns,1000698 n
5417ns,1000699 n
3917ns,1000700 n
3375ns,1000701 n
2959ns,1000702 n
2584ns,1000703 n
3084ns,1000704 n
3750ns,1000705 n
3375ns,1000706 n
3000ns,1000707 n
4458ns,1000708 n
4125ns,1000709 n
3541ns,1000710 n
4000ns,1000711 n
4167ns,1000712 n
3333ns,1000713 n
3625ns,1000714 n
7708ns,1000715 n
3583ns,1000716 n
4125ns,1000717 n
6458ns,1000718 n
4000ns,1000719 n
3417ns,1000720 n
2959ns,1000721 n
3416ns,1000722 n
3000ns,1000723 n
3916ns,1000724 n
3542ns,1000725 n
3084ns,1000726 n
3666ns,1000727 n
4667ns,1000728 n
5417ns,1000729 n
2916ns,1000730 n
4583ns,1000731 n
2875ns,1000732 n
