Nano Seconds,Value_of_n
5875ns,1430977 n
2542ns,1430978 n
3083ns,1430979 n
2583ns,1430980 n
5334ns,1430981 n
3916ns,1430982 n
6875ns,1430983 n
2584ns,1430984 n
2958ns,1430985 n
4792ns,1430986 n
2542ns,1430987 n
2667ns,1430988 n
2666ns,1430989 n
2500ns,1430990 n
2917ns,1430991 n
2583ns,1430992 n
2500ns,1430993 n
2750ns,1430994 n
2709ns,1430995 n
2541ns,1430996 n
3917ns,1430997 n
2625ns,1430998 n
3042ns,1430999 n
2667ns,1431000 n
3000ns,1431001 n
4958ns,1431002 n
4333ns,1431003 n
2792ns,1431004 n
3333ns,1431005 n
3625ns,1431006 n
2625ns,1431007 n
5333ns,1431008 n
3792ns,1431009 n
2833ns,1431010 n
3833ns,1431011 n
3042ns,1431012 n
2500ns,1431013 n
2583ns,1431014 n
2792ns,1431015 n
2458ns,1431016 n
2875ns,1431017 n
5250ns,1431018 n
3792ns,1431019 n
2958ns,1431020 n
6375ns,1431021 n
2208ns,1431022 n
3458ns,1431023 n
2708ns,1431024 n
2709ns,1431025 n
2833ns,1431026 n
2834ns,1431027 n
3792ns,1431028 n
2458ns,1431029 n
2875ns,1431030 n
4042ns,1431031 n
3208ns,1431032 n
2792ns,1431033 n
3208ns,1431034 n
3708ns,1431035 n
3541ns,1431036 n
2750ns,1431037 n
2875ns,1431038 n
2583ns,1431039 n
2458ns,1431040 n
3542ns,1431041 n
3000ns,1431042 n
2750ns,1431043 n
6916ns,1431044 n
2750ns,1431045 n
2542ns,1431046 n
2416ns,1431047 n
2666ns,1431048 n
2791ns,1431049 n
2500ns,1431050 n
2667ns,1431051 n
2375ns,1431052 n
3417ns,1431053 n
3292ns,1431054 n
4083ns,1431055 n
3083ns,1431056 n
2875ns,1431057 n
4084ns,1431058 n
2583ns,1431059 n
2833ns,1431060 n
3333ns,1431061 n
5042ns,1431062 n
2708ns,1431063 n
3417ns,1431064 n
5792ns,1431065 n
2500ns,1431066 n
2916ns,1431067 n
2459ns,1431068 n
3416ns,1431069 n
2709ns,1431070 n
2583ns,1431071 n
2667ns,1431072 n
2583ns,1431073 n
2625ns,1431074 n
2625ns,1431075 n
3167ns,1431076 n
2583ns,1431077 n
3084ns,1431078 n
2542ns,1431079 n
3250ns,1431080 n
3333ns,1431081 n
5250ns,1431082 n
4042ns,1431083 n
2875ns,1431084 n
4125ns,1431085 n
3500ns,1431086 n
2834ns,1431087 n
2458ns,1431088 n
2542ns,1431089 n
2917ns,1431090 n
3834ns,1431091 n
2625ns,1431092 n
2666ns,1431093 n
2375ns,1431094 n
4375ns,1431095 n
2500ns,1431096 n
2500ns,1431097 n
2542ns,1431098 n
2542ns,1431099 n
2416ns,1431100 n
2667ns,1431101 n
5916ns,1431102 n
3667ns,1431103 n
3375ns,1431104 n
2833ns,1431105 n
3958ns,1431106 n
2583ns,1431107 n
3083ns,1431108 n
7250ns,1431109 n
2750ns,1431110 n
3375ns,1431111 n
2417ns,1431112 n
2459ns,1431113 n
2750ns,1431114 n
2833ns,1431115 n
2625ns,1431116 n
3166ns,1431117 n
2417ns,1431118 n
2500ns,1431119 n
3750ns,1431120 n
3458ns,1431121 n
2792ns,1431122 n
2958ns,1431123 n
2542ns,1431124 n
3666ns,1431125 n
5125ns,1431126 n
2417ns,1431127 n
2709ns,1431128 n
3000ns,1431129 n
2584ns,1431130 n
4291ns,1431131 n
2875ns,1431132 n
5375ns,1431133 n
2542ns,1431134 n
3000ns,1431135 n
2541ns,1431136 n
3334ns,1431137 n
3125ns,1431138 n
2542ns,1431139 n
5125ns,1431140 n
2750ns,1431141 n
2542ns,1431142 n
2833ns,1431143 n
2750ns,1431144 n
4625ns,1431145 n
3125ns,1431146 n
4084ns,1431147 n
2500ns,1431148 n
2500ns,1431149 n
3083ns,1431150 n
4708ns,1431151 n
2167ns,1431152 n
2750ns,1431153 n
2500ns,1431154 n
2417ns,1431155 n
2916ns,1431156 n
2542ns,1431157 n
2583ns,1431158 n
2875ns,1431159 n
2292ns,1431160 n
2416ns,1431161 n
2875ns,1431162 n
4875ns,1431163 n
4041ns,1431164 n
3000ns,1431165 n
2584ns,1431166 n
5458ns,1431167 n
2459ns,1431168 n
4500ns,1431169 n
4750ns,1431170 n
2667ns,1431171 n
2458ns,1431172 n
2500ns,1431173 n
2833ns,1431174 n
2667ns,1431175 n
2417ns,1431176 n
3042ns,1431177 n
5166ns,1431178 n
3750ns,1431179 n
2917ns,1431180 n
4708ns,1431181 n
3792ns,1431182 n
2833ns,1431183 n
2459ns,1431184 n
3625ns,1431185 n
2833ns,1431186 n
4084ns,1431187 n
2416ns,1431188 n
2917ns,1431189 n
3750ns,1431190 n
2625ns,1431191 n
2625ns,1431192 n
2625ns,1431193 n
2459ns,1431194 n
2958ns,1431195 n
2500ns,1431196 n
3083ns,1431197 n
3125ns,1431198 n
3167ns,1431199 n
2500ns,1431200 n
5042ns,1431201 n
3500ns,1431202 n
2541ns,1431203 n
2583ns,1431204 n
4583ns,1431205 n
2666ns,1431206 n
3042ns,1431207 n
2959ns,1431208 n
5417ns,1431209 n
2833ns,1431210 n
2542ns,1431211 n
4750ns,1431212 n
2750ns,1431213 n
5917ns,1431214 n
2958ns,1431215 n
2708ns,1431216 n
2417ns,1431217 n
3959ns,1431218 n
2500ns,1431219 n
2708ns,1431220 n
2542ns,1431221 n
3208ns,1431222 n
2667ns,1431223 n
2500ns,1431224 n
2834ns,1431225 n
2625ns,1431226 n
2750ns,1431227 n
3292ns,1431228 n
3833ns,1431229 n
2709ns,1431230 n
2833ns,1431231 n
2292ns,1431232 n
5208ns,1431233 n
3084ns,1431234 n
4500ns,1431235 n
2542ns,1431236 n
3125ns,1431237 n
4000ns,1431238 n
2667ns,1431239 n
2833ns,1431240 n
2625ns,1431241 n
2625ns,1431242 n
3542ns,1431243 n
3750ns,1431244 n
2583ns,1431245 n
4666ns,1431246 n
3167ns,1431247 n
2584ns,1431248 n
3583ns,1431249 n
3375ns,1431250 n
2542ns,1431251 n
4708ns,1431252 n
2417ns,1431253 n
3417ns,1431254 n
3208ns,1431255 n
2583ns,1431256 n
2375ns,1431257 n
5459ns,1431258 n
5500ns,1431259 n
2916ns,1431260 n
2959ns,1431261 n
2750ns,1431262 n
2708ns,1431263 n
2750ns,1431264 n
3625ns,1431265 n
2208ns,1431266 n
3083ns,1431267 n
2542ns,1431268 n
3709ns,1431269 n
2625ns,1431270 n
3959ns,1431271 n
2416ns,1431272 n
2709ns,1431273 n
2625ns,1431274 n
3417ns,1431275 n
2875ns,1431276 n
2416ns,1431277 n
2666ns,1431278 n
5000ns,1431279 n
2667ns,1431280 n
2625ns,1431281 n
2875ns,1431282 n
4792ns,1431283 n
4667ns,1431284 n
2791ns,1431285 n
2584ns,1431286 n
2500ns,1431287 n
4708ns,1431288 n
3125ns,1431289 n
2542ns,1431290 n
4000ns,1431291 n
2625ns,1431292 n
4250ns,1431293 n
3500ns,1431294 n
3792ns,1431295 n
2416ns,1431296 n
2916ns,1431297 n
2875ns,1431298 n
4709ns,1431299 n
2958ns,1431300 n
2750ns,1431301 n
2458ns,1431302 n
2834ns,1431303 n
3000ns,1431304 n
5209ns,1431305 n
4583ns,1431306 n
2500ns,1431307 n
2917ns,1431308 n
2916ns,1431309 n
3834ns,1431310 n
3500ns,1431311 n
2750ns,1431312 n
2667ns,1431313 n
2584ns,1431314 n
3250ns,1431315 n
2500ns,1431316 n
2458ns,1431317 n
4458ns,1431318 n
3542ns,1431319 n
2625ns,1431320 n
4667ns,1431321 n
4583ns,1431322 n
2625ns,1431323 n
3292ns,1431324 n
2917ns,1431325 n
2541ns,1431326 n
3042ns,1431327 n
2250ns,1431328 n
4458ns,1431329 n
3000ns,1431330 n
2416ns,1431331 n
2625ns,1431332 n
3958ns,1431333 n
6250ns,1431334 n
4417ns,1431335 n
2959ns,1431336 n
2459ns,1431337 n
3250ns,1431338 n
2708ns,1431339 n
4042ns,1431340 n
3875ns,1431341 n
2750ns,1431342 n
4625ns,1431343 n
2542ns,1431344 n
2542ns,1431345 n
2916ns,1431346 n
2500ns,1431347 n
4500ns,1431348 n
3750ns,1431349 n
2750ns,1431350 n
3459ns,1431351 n
2416ns,1431352 n
2959ns,1431353 n
3959ns,1431354 n
7459ns,1431355 n
2583ns,1431356 n
4917ns,1431357 n
2500ns,1431358 n
2750ns,1431359 n
2750ns,1431360 n
2458ns,1431361 n
2459ns,1431362 n
3041ns,1431363 n
2667ns,1431364 n
2583ns,1431365 n
2500ns,1431366 n
2667ns,1431367 n
2583ns,1431368 n
4334ns,1431369 n
2708ns,1431370 n
5625ns,1431371 n
4708ns,1431372 n
2500ns,1431373 n
2500ns,1431374 n
2917ns,1431375 n
5375ns,1431376 n
2458ns,1431377 n
2916ns,1431378 n
2625ns,1431379 n
2583ns,1431380 n
2583ns,1431381 n
1667ns,1431382 n
2667ns,1431383 n
3291ns,1431384 n
3875ns,1431385 n
2500ns,1431386 n
4458ns,1431387 n
4084ns,1431388 n
2625ns,1431389 n
2667ns,1431390 n
3916ns,1431391 n
3209ns,1431392 n
2833ns,1431393 n
2417ns,1431394 n
2792ns,1431395 n
2708ns,1431396 n
2708ns,1431397 n
2666ns,1431398 n
3500ns,1431399 n
3167ns,1431400 n
3208ns,1431401 n
3917ns,1431402 n
2583ns,1431403 n
2959ns,1431404 n
3250ns,1431405 n
6375ns,1431406 n
6334ns,1431407 n
3000ns,1431408 n
2958ns,1431409 n
2667ns,1431410 n
2625ns,1431411 n
5416ns,1431412 n
2500ns,1431413 n
6792ns,1431414 n
4458ns,1431415 n
2625ns,1431416 n
2958ns,1431417 n
3875ns,1431418 n
2833ns,1431419 n
2958ns,1431420 n
2500ns,1431421 n
3958ns,1431422 n
2708ns,1431423 n
3500ns,1431424 n
2416ns,1431425 n
3959ns,1431426 n
3333ns,1431427 n
2292ns,1431428 n
4667ns,1431429 n
2625ns,1431430 n
4542ns,1431431 n
3959ns,1431432 n
3625ns,1431433 n
2791ns,1431434 n
2625ns,1431435 n
2584ns,1431436 n
4916ns,1431437 n
2791ns,1431438 n
2584ns,1431439 n
2458ns,1431440 n
2834ns,1431441 n
4875ns,1431442 n
5417ns,1431443 n
2917ns,1431444 n
2459ns,1431445 n
3208ns,1431446 n
2708ns,1431447 n
2584ns,1431448 n
2541ns,1431449 n
3250ns,1431450 n
2750ns,1431451 n
2375ns,1431452 n
4000ns,1431453 n
2708ns,1431454 n
3334ns,1431455 n
2125ns,1431456 n
3084ns,1431457 n
4041ns,1431458 n
2875ns,1431459 n
3208ns,1431460 n
2417ns,1431461 n
4583ns,1431462 n
4500ns,1431463 n
2417ns,1431464 n
2959ns,1431465 n
6250ns,1431466 n
2625ns,1431467 n
3083ns,1431468 n
2250ns,1431469 n
4000ns,1431470 n
6583ns,1431471 n
2625ns,1431472 n
3917ns,1431473 n
2250ns,1431474 n
2709ns,1431475 n
3875ns,1431476 n
4000ns,1431477 n
2666ns,1431478 n
4000ns,1431479 n
4375ns,1431480 n
3208ns,1431481 n
2750ns,1431482 n
5833ns,1431483 n
5084ns,1431484 n
3458ns,1431485 n
3708ns,1431486 n
3792ns,1431487 n
2458ns,1431488 n
2834ns,1431489 n
4625ns,1431490 n
2541ns,1431491 n
2708ns,1431492 n
3000ns,1431493 n
4542ns,1431494 n
3625ns,1431495 n
2583ns,1431496 n
3208ns,1431497 n
2750ns,1431498 n
10292ns,1431499 n
2583ns,1431500 n
5958ns,1431501 n
3625ns,1431502 n
2500ns,1431503 n
2709ns,1431504 n
2750ns,1431505 n
2375ns,1431506 n
2583ns,1431507 n
2750ns,1431508 n
3792ns,1431509 n
3000ns,1431510 n
2583ns,1431511 n
2459ns,1431512 n
3333ns,1431513 n
2750ns,1431514 n
3584ns,1431515 n
2833ns,1431516 n
3167ns,1431517 n
3208ns,1431518 n
3209ns,1431519 n
2458ns,1431520 n
2625ns,1431521 n
4833ns,1431522 n
2583ns,1431523 n
4334ns,1431524 n
3042ns,1431525 n
5166ns,1431526 n
2542ns,1431527 n
2708ns,1431528 n
2916ns,1431529 n
3500ns,1431530 n
2917ns,1431531 n
2583ns,1431532 n
4291ns,1431533 n
2959ns,1431534 n
2667ns,1431535 n
2625ns,1431536 n
5541ns,1431537 n
5875ns,1431538 n
2500ns,1431539 n
2708ns,1431540 n
4875ns,1431541 n
2625ns,1431542 n
2750ns,1431543 n
3833ns,1431544 n
5000ns,1431545 n
2792ns,1431546 n
2625ns,1431547 n
3750ns,1431548 n
3500ns,1431549 n
2708ns,1431550 n
2667ns,1431551 n
2209ns,1431552 n
4667ns,1431553 n
2416ns,1431554 n
3125ns,1431555 n
3917ns,1431556 n
2541ns,1431557 n
2958ns,1431558 n
4250ns,1431559 n
2875ns,1431560 n
4208ns,1431561 n
2959ns,1431562 n
2541ns,1431563 n
2666ns,1431564 n
4042ns,1431565 n
3000ns,1431566 n
3000ns,1431567 n
3334ns,1431568 n
2458ns,1431569 n
2500ns,1431570 n
2541ns,1431571 n
6375ns,1431572 n
3583ns,1431573 n
3625ns,1431574 n
4541ns,1431575 n
3750ns,1431576 n
2667ns,1431577 n
2583ns,1431578 n
6667ns,1431579 n
3333ns,1431580 n
2459ns,1431581 n
4792ns,1431582 n
4000ns,1431583 n
2375ns,1431584 n
2791ns,1431585 n
2709ns,1431586 n
2833ns,1431587 n
2625ns,1431588 n
3250ns,1431589 n
2708ns,1431590 n
2875ns,1431591 n
3791ns,1431592 n
2709ns,1431593 n
3416ns,1431594 n
2875ns,1431595 n
6792ns,1431596 n
4500ns,1431597 n
3750ns,1431598 n
3459ns,1431599 n
2708ns,1431600 n
2458ns,1431601 n
2459ns,1431602 n
4416ns,1431603 n
2417ns,1431604 n
2833ns,1431605 n
4625ns,1431606 n
2625ns,1431607 n
2500ns,1431608 n
3375ns,1431609 n
4666ns,1431610 n
2667ns,1431611 n
2084ns,1431612 n
2542ns,1431613 n
3375ns,1431614 n
2625ns,1431615 n
2292ns,1431616 n
3000ns,1431617 n
5042ns,1431618 n
2875ns,1431619 n
3459ns,1431620 n
3125ns,1431621 n
2584ns,1431622 n
4958ns,1431623 n
2709ns,1431624 n
2333ns,1431625 n
2667ns,1431626 n
2542ns,1431627 n
2792ns,1431628 n
3750ns,1431629 n
2916ns,1431630 n
5125ns,1431631 n
2458ns,1431632 n
2709ns,1431633 n
2500ns,1431634 n
3167ns,1431635 n
4500ns,1431636 n
2334ns,1431637 n
3667ns,1431638 n
2791ns,1431639 n
2875ns,1431640 n
3250ns,1431641 n
4541ns,1431642 n
2708ns,1431643 n
4584ns,1431644 n
2750ns,1431645 n
2625ns,1431646 n
2875ns,1431647 n
2542ns,1431648 n
2416ns,1431649 n
2375ns,1431650 n
2917ns,1431651 n
2458ns,1431652 n
3792ns,1431653 n
3708ns,1431654 n
3042ns,1431655 n
4291ns,1431656 n
2791ns,1431657 n
2708ns,1431658 n
2625ns,1431659 n
3584ns,1431660 n
2333ns,1431661 n
4125ns,1431662 n
2750ns,1431663 n
2709ns,1431664 n
2875ns,1431665 n
3542ns,1431666 n
4583ns,1431667 n
2542ns,1431668 n
2916ns,1431669 n
3583ns,1431670 n
4500ns,1431671 n
2333ns,1431672 n
2917ns,1431673 n
3375ns,1431674 n
2916ns,1431675 n
5084ns,1431676 n
3000ns,1431677 n
3542ns,1431678 n
3416ns,1431679 n
2375ns,1431680 n
2875ns,1431681 n
2625ns,1431682 n
4084ns,1431683 n
2916ns,1431684 n
3666ns,1431685 n
2667ns,1431686 n
2625ns,1431687 n
3292ns,1431688 n
3417ns,1431689 n
3167ns,1431690 n
4542ns,1431691 n
4709ns,1431692 n
4708ns,1431693 n
4792ns,1431694 n
4417ns,1431695 n
2708ns,1431696 n
5958ns,1431697 n
2416ns,1431698 n
3209ns,1431699 n
3625ns,1431700 n
3167ns,1431701 n
2750ns,1431702 n
2375ns,1431703 n
2500ns,1431704 n
2625ns,1431705 n
2875ns,1431706 n
2834ns,1431707 n
4042ns,1431708 n
3625ns,1431709 n
2791ns,1431710 n
2833ns,1431711 n
2416ns,1431712 n
2334ns,1431713 n
4042ns,1431714 n
4834ns,1431715 n
3291ns,1431716 n
3792ns,1431717 n
2666ns,1431718 n
4583ns,1431719 n
3792ns,1431720 n
2500ns,1431721 n
5125ns,1431722 n
3958ns,1431723 n
2542ns,1431724 n
2916ns,1431725 n
3417ns,1431726 n
2208ns,1431727 n
3542ns,1431728 n
2583ns,1431729 n
3125ns,1431730 n
3000ns,1431731 n
2666ns,1431732 n
2500ns,1431733 n
2667ns,1431734 n
2542ns,1431735 n
4041ns,1431736 n
2459ns,1431737 n
3292ns,1431738 n
7042ns,1431739 n
2834ns,1431740 n
4334ns,1431741 n
3125ns,1431742 n
4541ns,1431743 n
2333ns,1431744 n
2417ns,1431745 n
2500ns,1431746 n
3375ns,1431747 n
4166ns,1431748 n
4042ns,1431749 n
3208ns,1431750 n
2625ns,1431751 n
2875ns,1431752 n
3583ns,1431753 n
2542ns,1431754 n
2958ns,1431755 n
3042ns,1431756 n
2500ns,1431757 n
2625ns,1431758 n
3000ns,1431759 n
2833ns,1431760 n
4417ns,1431761 n
2875ns,1431762 n
2458ns,1431763 n
2791ns,1431764 n
2708ns,1431765 n
3708ns,1431766 n
4000ns,1431767 n
2917ns,1431768 n
2500ns,1431769 n
2709ns,1431770 n
3750ns,1431771 n
4208ns,1431772 n
2709ns,1431773 n
2750ns,1431774 n
3083ns,1431775 n
4334ns,1431776 n
2666ns,1431777 n
2500ns,1431778 n
2583ns,1431779 n
3125ns,1431780 n
3417ns,1431781 n
3375ns,1431782 n
3833ns,1431783 n
2542ns,1431784 n
2875ns,1431785 n
4834ns,1431786 n
4000ns,1431787 n
2708ns,1431788 n
3250ns,1431789 n
4625ns,1431790 n
2834ns,1431791 n
2958ns,1431792 n
2708ns,1431793 n
2792ns,1431794 n
3542ns,1431795 n
3666ns,1431796 n
2750ns,1431797 n
4459ns,1431798 n
2584ns,1431799 n
2708ns,1431800 n
2709ns,1431801 n
4000ns,1431802 n
4834ns,1431803 n
2750ns,1431804 n
4375ns,1431805 n
2583ns,1431806 n
3042ns,1431807 n
2333ns,1431808 n
2542ns,1431809 n
2750ns,1431810 n
6625ns,1431811 n
4333ns,1431812 n
6208ns,1431813 n
3667ns,1431814 n
2458ns,1431815 n
2542ns,1431816 n
2542ns,1431817 n
2541ns,1431818 n
2792ns,1431819 n
2708ns,1431820 n
6250ns,1431821 n
3041ns,1431822 n
4625ns,1431823 n
3375ns,1431824 n
3000ns,1431825 n
3292ns,1431826 n
2500ns,1431827 n
2959ns,1431828 n
2542ns,1431829 n
4625ns,1431830 n
2750ns,1431831 n
3833ns,1431832 n
2792ns,1431833 n
2834ns,1431834 n
3000ns,1431835 n
2500ns,1431836 n
2958ns,1431837 n
2584ns,1431838 n
4166ns,1431839 n
2541ns,1431840 n
2583ns,1431841 n
2625ns,1431842 n
4583ns,1431843 n
5875ns,1431844 n
2791ns,1431845 n
2708ns,1431846 n
2625ns,1431847 n
3292ns,1431848 n
4792ns,1431849 n
3042ns,1431850 n
2541ns,1431851 n
2500ns,1431852 n
4333ns,1431853 n
2542ns,1431854 n
3583ns,1431855 n
2333ns,1431856 n
3916ns,1431857 n
4417ns,1431858 n
1916ns,1431859 n
2750ns,1431860 n
4292ns,1431861 n
4500ns,1431862 n
3166ns,1431863 n
2667ns,1431864 n
2708ns,1431865 n
5042ns,1431866 n
5917ns,1431867 n
2625ns,1431868 n
2541ns,1431869 n
2958ns,1431870 n
4000ns,1431871 n
2416ns,1431872 n
2709ns,1431873 n
3417ns,1431874 n
2958ns,1431875 n
3083ns,1431876 n
3375ns,1431877 n
2584ns,1431878 n
2541ns,1431879 n
2750ns,1431880 n
2917ns,1431881 n
2833ns,1431882 n
4042ns,1431883 n
4458ns,1431884 n
2667ns,1431885 n
2708ns,1431886 n
5042ns,1431887 n
3041ns,1431888 n
6375ns,1431889 n
3208ns,1431890 n
2958ns,1431891 n
2709ns,1431892 n
2834ns,1431893 n
2666ns,1431894 n
3458ns,1431895 n
2542ns,1431896 n
2417ns,1431897 n
2333ns,1431898 n
2750ns,1431899 n
2500ns,1431900 n
3125ns,1431901 n
3875ns,1431902 n
3167ns,1431903 n
3125ns,1431904 n
2833ns,1431905 n
4542ns,1431906 n
2500ns,1431907 n
2459ns,1431908 n
4791ns,1431909 n
2709ns,1431910 n
2833ns,1431911 n
2792ns,1431912 n
4250ns,1431913 n
2333ns,1431914 n
2833ns,1431915 n
3542ns,1431916 n
2500ns,1431917 n
3167ns,1431918 n
2625ns,1431919 n
2459ns,1431920 n
3625ns,1431921 n
2459ns,1431922 n
2625ns,1431923 n
3458ns,1431924 n
3833ns,1431925 n
2625ns,1431926 n
2916ns,1431927 n
4333ns,1431928 n
2542ns,1431929 n
3959ns,1431930 n
6917ns,1431931 n
2667ns,1431932 n
3542ns,1431933 n
2709ns,1431934 n
2834ns,1431935 n
2166ns,1431936 n
2625ns,1431937 n
2459ns,1431938 n
2708ns,1431939 n
2625ns,1431940 n
2666ns,1431941 n
2666ns,1431942 n
3667ns,1431943 n
2708ns,1431944 n
3167ns,1431945 n
2625ns,1431946 n
7167ns,1431947 n
3417ns,1431948 n
3833ns,1431949 n
3333ns,1431950 n
2792ns,1431951 n
2875ns,1431952 n
6584ns,1431953 n
4500ns,1431954 n
4125ns,1431955 n
2417ns,1431956 n
2875ns,1431957 n
2709ns,1431958 n
2625ns,1431959 n
2833ns,1431960 n
3625ns,1431961 n
3125ns,1431962 n
3375ns,1431963 n
5250ns,1431964 n
2584ns,1431965 n
3958ns,1431966 n
2583ns,1431967 n
3542ns,1431968 n
2792ns,1431969 n
2708ns,1431970 n
8084ns,1431971 n
2958ns,1431972 n
2667ns,1431973 n
3500ns,1431974 n
4333ns,1431975 n
2583ns,1431976 n
2333ns,1431977 n
3291ns,1431978 n
5042ns,1431979 n
2958ns,1431980 n
5250ns,1431981 n
2625ns,1431982 n
2708ns,1431983 n
2500ns,1431984 n
2667ns,1431985 n
3875ns,1431986 n
2542ns,1431987 n
2541ns,1431988 n
4542ns,1431989 n
2958ns,1431990 n
2875ns,1431991 n
2625ns,1431992 n
4167ns,1431993 n
7000ns,1431994 n
2750ns,1431995 n
4125ns,1431996 n
4625ns,1431997 n
2625ns,1431998 n
3875ns,1431999 n
2458ns,1432000 n
2500ns,1432001 n
3084ns,1432002 n
2792ns,1432003 n
3750ns,1432004 n
2875ns,1432005 n
2583ns,1432006 n
4708ns,1432007 n
2667ns,1432008 n
3292ns,1432009 n
4416ns,1432010 n
2542ns,1432011 n
2416ns,1432012 n
2750ns,1432013 n
3375ns,1432014 n
3084ns,1432015 n
2500ns,1432016 n
2584ns,1432017 n
5042ns,1432018 n
2458ns,1432019 n
3459ns,1432020 n
2500ns,1432021 n
5666ns,1432022 n
2916ns,1432023 n
2625ns,1432024 n
2541ns,1432025 n
2583ns,1432026 n
4625ns,1432027 n
2625ns,1432028 n
3083ns,1432029 n
2709ns,1432030 n
2542ns,1432031 n
2792ns,1432032 n
3833ns,1432033 n
3917ns,1432034 n
3333ns,1432035 n
3375ns,1432036 n
5250ns,1432037 n
2708ns,1432038 n
4542ns,1432039 n
2542ns,1432040 n
4041ns,1432041 n
4000ns,1432042 n
3292ns,1432043 n
2875ns,1432044 n
3000ns,1432045 n
2667ns,1432046 n
3458ns,1432047 n
2959ns,1432048 n
2167ns,1432049 n
3000ns,1432050 n
4125ns,1432051 n
3833ns,1432052 n
2625ns,1432053 n
3167ns,1432054 n
2666ns,1432055 n
2584ns,1432056 n
3500ns,1432057 n
4000ns,1432058 n
3500ns,1432059 n
3083ns,1432060 n
4416ns,1432061 n
3041ns,1432062 n
2791ns,1432063 n
2083ns,1432064 n
2709ns,1432065 n
2500ns,1432066 n
2958ns,1432067 n
3333ns,1432068 n
7208ns,1432069 n
3000ns,1432070 n
3166ns,1432071 n
3541ns,1432072 n
2542ns,1432073 n
2708ns,1432074 n
2500ns,1432075 n
2958ns,1432076 n
2667ns,1432077 n
2541ns,1432078 n
3959ns,1432079 n
3125ns,1432080 n
2667ns,1432081 n
4542ns,1432082 n
2625ns,1432083 n
4542ns,1432084 n
2500ns,1432085 n
2833ns,1432086 n
2958ns,1432087 n
4959ns,1432088 n
3666ns,1432089 n
3458ns,1432090 n
2625ns,1432091 n
4000ns,1432092 n
2916ns,1432093 n
5625ns,1432094 n
3209ns,1432095 n
2334ns,1432096 n
3375ns,1432097 n
2833ns,1432098 n
3334ns,1432099 n
2750ns,1432100 n
3125ns,1432101 n
2667ns,1432102 n
2667ns,1432103 n
2625ns,1432104 n
2625ns,1432105 n
2875ns,1432106 n
2625ns,1432107 n
3166ns,1432108 n
2791ns,1432109 n
2834ns,1432110 n
2541ns,1432111 n
3541ns,1432112 n
4583ns,1432113 n
5042ns,1432114 n
3791ns,1432115 n
2834ns,1432116 n
4250ns,1432117 n
2958ns,1432118 n
2917ns,1432119 n
2875ns,1432120 n
5333ns,1432121 n
2750ns,1432122 n
2666ns,1432123 n
2583ns,1432124 n
2583ns,1432125 n
2542ns,1432126 n
7833ns,1432127 n
2542ns,1432128 n
2500ns,1432129 n
3500ns,1432130 n
2833ns,1432131 n
2584ns,1432132 n
7958ns,1432133 n
3125ns,1432134 n
2791ns,1432135 n
2334ns,1432136 n
3708ns,1432137 n
3208ns,1432138 n
2625ns,1432139 n
2834ns,1432140 n
3291ns,1432141 n
5750ns,1432142 n
4291ns,1432143 n
2458ns,1432144 n
2833ns,1432145 n
2750ns,1432146 n
2584ns,1432147 n
2375ns,1432148 n
2625ns,1432149 n
2917ns,1432150 n
5167ns,1432151 n
2667ns,1432152 n
7667ns,1432153 n
3041ns,1432154 n
4250ns,1432155 n
2542ns,1432156 n
5333ns,1432157 n
3209ns,1432158 n
3000ns,1432159 n
2542ns,1432160 n
2666ns,1432161 n
5375ns,1432162 n
2958ns,1432163 n
2583ns,1432164 n
2625ns,1432165 n
4708ns,1432166 n
3166ns,1432167 n
2417ns,1432168 n
2750ns,1432169 n
2875ns,1432170 n
3666ns,1432171 n
2375ns,1432172 n
4250ns,1432173 n
2666ns,1432174 n
2709ns,1432175 n
2500ns,1432176 n
2500ns,1432177 n
3042ns,1432178 n
3583ns,1432179 n
4125ns,1432180 n
2458ns,1432181 n
3208ns,1432182 n
5125ns,1432183 n
3417ns,1432184 n
2958ns,1432185 n
2833ns,1432186 n
3250ns,1432187 n
3208ns,1432188 n
2791ns,1432189 n
4250ns,1432190 n
4042ns,1432191 n
4083ns,1432192 n
3000ns,1432193 n
2958ns,1432194 n
5625ns,1432195 n
3167ns,1432196 n
2958ns,1432197 n
4083ns,1432198 n
2959ns,1432199 n
2417ns,1432200 n
2792ns,1432201 n
6417ns,1432202 n
4083ns,1432203 n
2625ns,1432204 n
4167ns,1432205 n
4917ns,1432206 n
2750ns,1432207 n
2375ns,1432208 n
6000ns,1432209 n
2667ns,1432210 n
2708ns,1432211 n
5042ns,1432212 n
4166ns,1432213 n
2584ns,1432214 n
3208ns,1432215 n
2708ns,1432216 n
2459ns,1432217 n
2875ns,1432218 n
4125ns,1432219 n
3000ns,1432220 n
3208ns,1432221 n
2584ns,1432222 n
1958ns,1432223 n
2709ns,1432224 n
4000ns,1432225 n
4875ns,1432226 n
2583ns,1432227 n
2542ns,1432228 n
6583ns,1432229 n
2875ns,1432230 n
3875ns,1432231 n
2458ns,1432232 n
2167ns,1432233 n
2500ns,1432234 n
3250ns,1432235 n
3084ns,1432236 n
4166ns,1432237 n
6083ns,1432238 n
3083ns,1432239 n
2709ns,1432240 n
5375ns,1432241 n
3167ns,1432242 n
2667ns,1432243 n
3000ns,1432244 n
2833ns,1432245 n
2542ns,1432246 n
4625ns,1432247 n
